Date,EURUSD,US3M,EUR3M,EUR3M fwd,EURIBOR
6/7/2000,0.9622,6.7975,4.412,59.25,4.412
6/8/2000,0.956,6.8,4.416,55,4.416
6/9/2000,0.9536,6.81,4.552,54.9,4.552
6/12/2000,0.9538,6.81,4.549,55,4.549
6/13/2000,0.9596,6.81,4.548,55.15,4.548
6/14/2000,0.9579,6.7925,4.534,56.2,4.534
6/15/2000,0.9547,6.7775,4.506,55.35,4.506
6/16/2000,0.965,6.775,4.476,55.7,4.476
6/19/2000,0.9567,6.76188,4.47,55.1,4.47
6/20/2000,0.9548,6.76125,4.486,55.75,4.486
6/21/2000,0.9442,6.765,4.518,54.5,4.518
6/22/2000,0.9355,6.7725,4.518,52.95,4.518
6/23/2000,0.9359,6.77,4.529,52.95,4.529
6/26/2000,0.9369,6.77438,4.544,52.9,4.544
6/27/2000,0.9459,6.775,4.551,52.75,4.551
6/28/2000,0.9401,6.78,4.547,53.15,4.547
6/29/2000,0.952,6.77875,4.548,53.45,4.548
6/30/2000,0.9525,6.76938,4.547,53.5,4.547
7/3/2000,0.9502,6.77,4.551,53.43,4.551
7/4/2000,0.9513,6.75,4.547,52.9,4.547
7/5/2000,0.9525,6.745,4.544,53.25,4.544
7/6/2000,0.9507,6.74,4.535,52.75,4.535
7/7/2000,0.9484,6.74375,4.538,52.5,4.538
7/10/2000,0.9553,6.73,4.537,52.5,4.537
7/11/2000,0.9527,6.73125,4.539,51.8,4.539
7/12/2000,0.9424,6.73125,4.541,51.6,4.541
7/13/2000,0.9372,6.73375,4.548,50.85,4.548
7/14/2000,0.9385,6.73,4.558,50.58,4.558
7/17/2000,0.9366,6.74,4.562,51,4.562
7/18/2000,0.9248,6.74,4.566,50.35,4.566
7/19/2000,0.9246,6.74,4.625,49.8,4.625
7/20/2000,0.9331,6.74,4.636,49.3,4.636
7/21/2000,0.9369,6.7175,4.624,48.9,4.624
7/24/2000,0.9337,6.71375,4.624,48.75,4.624
7/25/2000,0.9385,6.715,4.626,48.9,4.626
7/26/2000,0.9428,6.7125,4.631,50.2,4.631
7/27/2000,0.9317,6.7125,4.63,48.45,4.63
7/28/2000,0.923,6.71125,4.638,48.4,4.638
7/31/2000,0.9266,6.72188,4.641,48.75,4.641
8/1/2000,0.9147,6.72,4.636,47.9,4.636
8/2/2000,0.9136,6.72,4.639,48,4.639
8/3/2000,0.9061,6.71375,4.642,46.85,4.642
8/4/2000,0.9083,6.71,4.644,46.9,4.644
8/7/2000,0.9071,6.69125,4.639,46.83,4.639
8/8/2000,0.9022,6.69,4.637,46.2,4.637
8/9/2000,0.9006,6.68813,4.644,46.95,4.644
8/10/2000,0.9083,6.68125,4.648,45.18,4.648
8/11/2000,0.9026,6.68,4.711,43.05,4.711
8/14/2000,0.9056,6.6875,4.784,42.5,4.784
8/15/2000,0.9135,6.69,4.786,42.25,4.786
8/16/2000,0.9161,6.69,4.824,43,4.824
8/17/2000,0.9162,6.69,4.841,42.55,4.841
8/18/2000,0.9064,6.69,4.832,41.8,4.832
8/21/2000,0.9017,6.69,4.844,40.95,4.844
8/22/2000,0.8964,6.69,4.871,41.05,4.871
8/23/2000,0.9017,6.69,4.87,42.1,4.87
8/24/2000,0.9021,6.68,4.864,40.35,4.864
8/25/2000,0.9021,6.68,4.902,39.15,4.902
8/28/2000,0.9002,6.68,4.919,39.5,4.919
8/29/2000,0.8921,6.68,4.915,39.55,4.915
8/30/2000,0.894,6.68,4.893,39.45,4.893
8/31/2000,0.8878,6.68,4.888,40.05,4.888
9/1/2000,0.8997,6.6725,4.829,41.2,4.829
